Model,Parameters,Precision (P),Recall (R),mAP50,mAP50-95,Size,FPS,Latency (ms)
Fast R-CNN,28275328,0.808,0.982,0.983,0.672,108M,12.7,78.71
rtdetr-l,31985795,0.978,0.971,0.987,0.717,63.1M,36.6,27.33
YOLOv5n,2503139,0.985,0.957,0.99,0.761,5.0M,136.1,7.35
YOLOv6n,4233843,0.976,0.98,0.993,0.753,8.3M,161.8,6.18
YOLOv8n,3005843,0.985,0.952,0.99,0.751,5.9M,147.7,6.77
YOLOv9t,1970979,0.97,0.967,0.99,0.739,4.4M,52.9,18.89
YOLOv10n,2694806,0.965,0.965,0.988,0.744,5.5M,117.1,8.54
YOLOv11n,2582347,0.979,0.972,0.99,0.746,5.2M,112.5,8.89
YOLOv11s,9413187,0.977,0.958,0.991,0.77,18.3M,136.3,7.34
YOLOv11m,20030803,0.963,0.975,0.991,0.778,38.6M,84.7,11.81
YOLOv11l,25280083,0.978,0.964,0.991,0.784,97.3M,61.4,16.29
